단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
457630,대신밸런스제16호기업인수목적,대신밸런스제16호스팩,,2165.0
471050,대신밸런스제17호기업인수목적,대신밸런스제17호스팩,,2200.0
20180,대신정보통신,대신정보통신,,957.0
3545,대신증권1우선주,대신증권우,,15170.0
3547,대신증권2우선주(신형),대신증권2우B,,14550.0
3540,대신증권보통주,대신증권,,16770.0
45390,대아티아이,대아티아이,,3010.0
9190,대양금속보통주,대양금속,,2105.0
108380,대양전기공업,대양전기공업,,13110.0
14160,대영포장보통주,대영포장,,1100.0
47040,대우건설보통주,대우건설,,3985.0
9320,대우전자부품보통주,대우부품,,1099.0
3090,대웅보통주,대웅,,20300.0
69620,대웅제약보통주,대웅제약,,123800.0
7680,대원,대원,,4495.0
430,대원강업보통주,대원강업,,4970.0
48910,대원미디어,대원미디어,,8960.0
5710,대원산업,대원산업,,6110.0
6345,대원전선1우선주,대원전선우,,4620.0
6340,대원전선보통주,대원전선,,3225.0
3220,대원제약보통주,대원제약,,15730.0
24890,대원화성보통주,대원화성,,1292.0
290380,대유,대유,,2300.0
2880,대유에이텍,대유에이텍,,1167.0
300,대유플러스보통주,대유플러스,,241.0
120240,대정화금,대정화금,,15190.0
3310,대주산업,대주산업,,1535.0
114920,대주이엔티 주식회사,대주이엔티,,2795.0
78600,대주전자재료,대주전자재료,,112000.0
15230,대창단조보통주,대창단조,,5160.0
12800,대창보통주,대창,,1303.0
96350,대창솔루션,대창솔루션,,380.0
140520,대창스틸,대창스틸,,2445.0
131220,대한과학,대한과학,,5250.0
10170,대한광통신,대한광통신,,1144.0
54670,대한뉴팜,대한뉴팜,,9320.0
1070,대한방직보통주,대한방직,,6000.0
23910,대한약품공업,대한약품,,27700.0
6650,대한유화보통주,대한유화,,113500.0
1440,대한전선보통주,대한전선,,13220.0
84010,대한제강 보통주,대한제강,,12140.0
1795,대한제당1우선주,대한제당우,,2645.0
1790,대한제당보통주,대한제당,,3060.0
1130,대한제분보통주,대한제분,,139100.0
3495,대한항공1우선주,대한항공우,,23100.0
3490,대한항공보통주,대한항공,,20950.0
5880,대한해운보통주,대한해운,,2140.0
3830,대한화섬보통주,대한화섬,,101800.0
16090,대현보통주,대현,,1905.0
69460,대호에이엘보통주,대호에이엘,,1033.0
21040,대호특수강,대호특수강,,3960.0
21045,대호특수강1우선주,대호특수강우,,7750.0
67080,대화제약,대화제약,,10120.0
43090,더 테크놀로지,더테크놀로지,,334.0
298540,더네이쳐홀딩스,더네이쳐홀딩스,,11930.0
32860,더라미,더라미,,3640.0
192080,더블유게임즈보통주,더블유게임즈,,45500.0
393890,더블유씨피,더블유씨피,,23650.0
299170,더블유에스아이,더블유에스아이,,1760.0
89230,더이앤엠,THE E&M,,1457.0
12510,더존비즈온보통주,더존비즈온,,58800.0
224060,더코디,더코디,,5180.0
302920,더콘텐츠온,더콘텐츠온,,4590.0
213420,덕산네오룩스,덕산네오룩스,,32800.0
317330,덕산테코피아,덕산테코피아,,39700.0
77360,덕산하이메탈,덕산하이메탈,,5550.0
4835,덕성1우선주,덕성우,,10560.0
4830,덕성보통주,덕성,,7080.0
90410,덕신이피씨,덕신이피씨,,1663.0
24900,덕양산업보통주,덕양산업,,3685.0
263600,덕우전자,덕우전자,,6230.0
194480,데브시스터즈,데브시스터즈,,48600.0
263800,데이타솔루션,데이타솔루션,,4690.0
199150,데이터스트림즈,데이터스트림즈,,3700.0
206560,덱스터스튜디오,덱스터,,6020.0
261200,덴티스,덴티스,,8290.0
145720,덴티움보통주,덴티움,,90500.0
227420,도부마스크,도부마스크,,1808.0
67990,도이치모터스,도이치모터스,,4810.0
2150,도화엔지니어링보통주,도화엔지니어링,,7510.0
6620,동구바이오제약,동구바이오제약,,7130.0
5160,동국산업,동국산업,,6000.0
460850,동국씨엠보통주,동국씨엠,,7340.0
75970,동국알앤에스,동국알앤에스,,2915.0
100130,동국에스엔씨,동국S&C,,2665.0
460860,동국제강보통주,동국제강,,8900.0
86450,동국제약,동국제약,,17270.0
1230,동국홀딩스보통주,동국홀딩스,,8190.0
4140,동방보통주,동방,,3075.0
99410,동방선기,동방선기,,2735.0
7590,동방아그로보통주,동방아그로,,6270.0
5965,동부건설1우선주,동부건설우,,22350.0
5960,동부건설보통주,동부건설,,4845.0
26960,동서보통주,동서,,18280.0
2210,동성제약보통주,동성제약,,4805.0
102260,동성케미컬보통주,동성케미컬,,4280.0
33500,동성화인텍,동성화인텍,,13300.0
25950,동신건설,동신건설,,19950.0
640,동아쏘시오홀딩스보통주,동아쏘시오홀딩스,,110000.0
170900,동아에스티보통주,동아에스티,,70100.0
88130,동아엘텍,동아엘텍,,7450.0
28100,동아지질보통주,동아지질,,13300.0
282690,동아타이어공업보통주,동아타이어,,13150.0
41930,동아화성,동아화성,,6590.0
1525,동양1우선주,동양우,,5270.0
1527,동양2우선주(신형),동양2우B,,10480.0
84670,동양고속보통주,동양고속,,9520.0
1520,동양보통주,동양,,820.0
82640,동양생명보험보통주,동양생명,,8580.0
60380,동양에스텍,동양에스텍,,1920.0
79960,동양이엔피,동양이엔피,,18630.0
8970,동양철관보통주,동양철관,,1000.0
228340,동양파일,동양파일,,2140.0
92780,동양피스톤보통주,동양피스톤,,5650.0
